类别,周一0119,周二0120,周三0121,周四0122,周五0123
市场焦点股,"嘉美包装 22天15板;
胜通能源 22天15板;
锋龙股份 14连板;
友邦吊顶 13天9板;
新华百货 4连板;
三变科技 5天4板;","嘉美包装 23天16板2连板;
锋龙股份 15连板;
森源电气 3连板;
汉缆股份 3连板;
广电电气 3连板;","锋龙股份 16连板;
广电电气 4连板;
四川黄金 5天3板;
德才股份 6天3板;","锋龙股份 17连板;
嘉美包装 25天17板;
银河电子 14天8板;
巨力索具 11天6板2连板;
江化微 4连板;
九鼎新材 7天4板;","锋龙股份 18连板;
巨力索具 12天7板3连板;
江化微 5连板;
三变科技 9天5板;
白银有色 4连板;"
智能电网,"27只;
三变科技 9天5板;
汉缆股份 2天2板;
森源电气 2天2板;
广电电气 2天2板;
积成电子 2天2板;
宏盛华源 2天2板;
新能泰山 2天2板;
思源电气 2天2板;
新联电子 3天2板;
保变电气 3天2板;","8只;
汉缆股份 3天3板;
森源电气 3天3板;
广电电气 3天3板;
新联电子 4天3板;","2只;
广电电气 4天4板;",,3只;
机器人概念,"16只;
五洲新春 2天2板;
标准股份 3天2板;","3只;
锋龙股份 17天14板;
铁流股份 2天2板;","11只;
锋龙股份 18天15板;
京基智农 2天2板;
方正电机 4天2板;","10只;
锋龙股份 17连板;
新坐标 2天2板;
福莱新材 4天2板;","4只;
锋龙股份 18连板;"
商业航天,"9只;
九鼎新材 4天2板;","2只;
九鼎新材 5天3板;",,"28只;
九鼎新材 7天4板;
巨力索具 2天2板;
北摩高科 4天2板;","20只;
巨力索具 3天3板;
中超控股 2天2板;
润贝航科 2天2板;
西部材料 2天2板;
沃格光电 3天2板;
康欣新材 4天2板;"
化工,6只;,"6只;
沧州大化 2天2板;
新乡化纤 2天2板;","6只;
红墙股份 2天2板;
红宝丽 2天2板;",,"4只;
山东赫达 4天2板;"
发电机概念,4只;,"2只;
航发科技 2天2板;","3只;
动力新科 4天2板;","5只;
航发科技 4天3板;
潍柴重机 2天2板;",
AI应用,"4只;
新里程 5天3板;",7只;,"4只;
天地在线 3天2板;","6只;
久其软件 2天2板;","5只;
越剑智能 2天2板;
浙文互联 4天2板;"
光伏,3只;,,,,"33只;
宇晶股份 6天3板;
钧达股份 2天2板;"
军工,3只;,,,,
固态电池,3只;,,,,"2只;
大中矿业 3天2板;"
芯片产业链,"3只;
金海通 2天2板;","8只;
合肥城建 3天2板;","24只;
盈方微 2天2板;
江化微 2天2板;
通富微电 4天2板;
永吉股份 4天2板;","10只;
盈方微 3天3板;
江化微 4连板;
综艺股份 2天2板;
华维设计 2天2板;","2只;
江化微 5连板;"
旅游酒店,"2只;
大连亚圣 3天2板;",,,,
黄金概念,"2只;
四川黄金 3天2板;",,,,"4只;
白银有色 4天4板;"
业绩超预期,2只;,2只;,2只;,,"3只;
金安国纪 7天4板;"
其他,"嘉美包装 22天14板;
友邦吊顶 12天8板;
新华百货 4天4板;
金安国纪 3天2板;
百通能源 3天2板;","嘉美包装 23天15板;
汉商集团 2天2板;
迪贝电气 4天2板;",,"嘉美包装 25天16板;
炬申股份 2天2板;
华联控股 2天2板;
天创时尚 2天2板;
大有能源 3天2板;",汉商集团 5天3板;
房地产概念,,3只;,,,
有色金属概念,,3只;,"11只;
四川黄金 5天3板;
白银有色 2天2板;
招金黄金 3天2板;","3只;
白银有色 3天3板;
梅雁吉祥 2天2板;
湖南白银 3天2板;",6只;
培育钻石,,"2只;
恒盛能源 4天2板;",,,
食品饮料,,2只;,,,
PCB,,,6只;,"6只;
金安国纪 6天3板;
宏和科技 2天2板;
光合科技 2天2板;",
锂电池,,,5只;,,
光通信,,,"4只;
可川科技 4天2板;",3只;,
液冷IDC,,,3只;,,
油气设服,,,2只;,,
面板,,,2只;,2只;,
体育产业,,,2只;,,
天然气,,,,"4只;
洲际油气 2天2板;",
算力租赁,,,,3只;,
核电,,,,2只;,
钢铁,,,,,2只;
智能驾驶,,,,,2只;
医药商业,,,,,1只;
